department,department_name,division,gender,base_salary,2024_overtime_pay,2024_longevity_pay,grade,total_pay,ot_ratio
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,130181.0,0.0,0.0,N25,130181.0,0.0
DGS,Department of General Services,DGS 36 Real Estate Office,F,95458.0,0.0,2946.31,18,98404.31,0.0
CEC,Community Engagement Cluster,CEC 16 Business Management,F,87523.0,2333.76,5490.56,N16,95347.31999999999,0.026664533893947878
LIB,Department of Public Libraries,LIB 71 Director's Office,F,87523.0,0.0,5490.56,16,93013.56,0.0
POL,Department of Police,POL 47 MSB Management and Budget Division,F,87523.0,12173.85,5490.58,16,105187.43000000001,0.13909315265701588
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,106210.57,0.0,0.0,21,106210.57,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,62815.5,161.38,3189.37,16,66166.25,0.0025691111270307486
REC,Department of Recreation,REC 72 Facilities Division,M,108899.0,480.7,6831.44,21,116211.14,0.004414181948410913
DPS,Department of Permitting Services,DPS 75 Customer Support,F,99719.0,0.0,9536.59,19,109255.59,0.0
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,M,130181.0,2250.68,8166.53,N25,140598.21,0.01728885167574377
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,113837.0,0.0,3924.58,22,117761.58,0.0
FRS,Fire and Rescue Services,FRS 45 Budgets and Grants,F,119032.0,0.0,7467.13,23,126499.13,0.0
FRS,Fire and Rescue Services,FRS 45 Property and Supply,M,91392.0,306.91,2820.75,17,94519.66,0.0033581713935574233
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,136188.0,0.0,8543.3,N26,144731.3,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,M,110588.0,0.0,0.0,N23,110588.0,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,149112.0,0.0,0.0,N28,149112.0,0.0
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,217359.0,0.0,0.0,M1,217359.0,0.0
DPS,Department of Permitting Services,DPS 75 Central Services Unit,F,108899.0,0.0,6831.44,N21,115730.44,0.0
HRC,Office of Human Rights,HRC 46 Director's Office,M,87523.0,3221.95,0.0,N16,90744.95,0.0368126092569953
BOA,Board of Appeals Department,BOA 02 Board of Appeals Division,F,85375.01,0.0,0.0,N16,85375.01,0.0
DPS,Department of Permitting Services,DPS 75 Director's Office,M,147853.41,0.0,1053.92,M3,148907.33000000002,0.0
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,173574.12,0.0,0.0,M2,173574.12,0.0
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,F,130181.0,0.0,8166.53,N25,138347.53,0.0
FRS,Fire and Rescue Services,FRS 45 EMS Billing,F,165313.09,0.0,0.0,M3,165313.09,0.0
FIN,Department of Finance,FIN 32 Division of the Treasury,M,194980.0,0.0,0.0,M2,194980.0,0.0
FIN,Department of Finance,FIN 32 Tax Operations,F,87523.0,128.79,5490.56,16,93142.34999999999,0.001471498920283811
FIN,Department of Finance,FIN 32 Operations and Administration - Risk Management,F,169555.0,0.0,0.0,M3,169555.0,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,87523.0,0.0,8370.23,16,95893.23,0.0
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,165074.54,0.0,0.0,M3,165074.54,0.0
CEC,Community Engagement Cluster,CEC 16 Regional Services Centers,M,200000.0,0.0,0.0,EX3,200000.0,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,F,130181.0,0.0,8166.53,25,138347.53,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,201941.0,0.0,0.0,M1,201941.0,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181.0,0.0,8166.53,N25,138347.53,0.0
OIG,Office of the Inspector General,OIG 06 Office of the Inspector General,F,149112.0,0.0,9354.05,N28,158466.05,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,87523.0,0.0,5490.56,16,93013.56,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,130181.0,0.0,4017.99,N25,134198.99,0.0
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,108899.0,0.0,3361.18,21,112260.18,0.0
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,87523.0,864.31,8370.23,16,96757.54,0.009875232795950779
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,83754.0,0.0,4094.63,16,87848.63,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,119032.0,0.0,7467.13,23,126499.13,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,108552.58,0.0,0.0,N21,108552.58,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,91392.0,0.0,5733.27,N17,97125.27,0.0
DGS,Department of General Services,DGS 36 Administration and Budget,F,130181.0,0.0,8166.53,N25,138347.53,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,108899.0,0.0,1326.14,21,110225.14,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,169555.0,0.0,0.0,M3,169555.0,0.0
FIN,Department of Finance,FIN 32 Director's Office,F,217359.0,0.0,0.0,M1,217359.0,0.0
DOT,Department of Transportation,DOT 50 Highway Services,F,95458.0,13687.56,3792.78,18,112938.34,0.143388296423558
POL,Department of Police,POL 47 MSB Management and Budget Division,F,113377.47,338.66,0.0,23,113716.13,0.002987013204651683
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,91392.0,0.0,5733.27,N17,97125.27,0.0
FIN,Department of Finance,FIN 32 Grants Accounting,M,119032.0,0.0,11383.55,23,130415.55,0.0
FIN,Department of Finance,FIN 32 Accounts Payable,F,87523.0,0.0,6626.74,16,94149.74,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,163363.0,0.0,0.0,N30,163363.0,0.0
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,119032.0,0.0,7467.13,N23,126499.13,0.0
REC,Department of Recreation,REC 72 Facilities Division,M,130181.0,0.0,0.0,N25,130181.0,0.0
DEP,Department of Environmental Protection,DEP 80 Strategic Services Division,M,130181.0,0.0,1896.68,25,132077.68,0.0
DOT,Department of Transportation,DOT 50 Highway Services,M,113837.0,16958.19,10886.73,22,141681.92,0.14896905224136264
DOT,Department of Transportation,DOT 50 Highway Administration,M,169555.0,0.0,0.0,M3,169555.0,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,149112.0,0.0,7928.86,N28,157040.86,0.0
DEP,Department of Environmental Protection,DEP 80 Materials Management,M,142495.0,0.0,8938.92,27,151433.92,0.0
REC,Department of Recreation,REC 72 Countywide Programs,F,87523.0,0.0,5490.56,16,93013.56,0.0
DGS,Department of General Services,DGS 36 Central Duplicating,M,70775.0,0.0,6768.47,11,77543.47,0.0
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,104197.0,3557.59,9964.8,20,117719.39,0.034142921581235545
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,149112.0,0.0,14260.29,28,163372.29,0.0
REC,Department of Recreation,REC 72 Facilities Division,F,101175.0,0.0,2820.07,21,103995.07,0.0
REC,Department of Recreation,REC 72 Facilities Division,F,147095.9,0.0,0.0,M3,147095.9,0.0
OHR,Office of Human Resources,OHR 33 Recruitment and Selection,F,130181.0,0.0,8166.53,N25,138347.53,0.0
FRS,Fire and Rescue Services,FRS 45 Admin Services,F,119032.0,32516.5,7467.13,N23,159015.63,0.27317444048659184
PRO,Office of Procurement,PRO 35 Procurement Operations Section,F,142495.0,0.0,4398.04,27,146893.04,0.0
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,167123.6,0.0,0.0,N25,167123.6,0.0
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,124464.0,17644.79,7807.8,N24,149916.59,0.14176621352358915
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,169555.0,0.0,0.0,M3,169555.0,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,130181.0,0.0,8166.53,N25,138347.53,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,M,193105.77,0.0,0.0,M2,193105.77,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032.0,0.0,0.0,N23,119032.0,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,149112.0,0.0,9354.05,N28,158466.05,0.0
DOT,Department of Transportation,DOT 50 Highway Services,M,136188.0,0.0,8543.3,N26,144731.3,0.0
DOT,Department of Transportation,DOT 50 Transportation Management,F,83837.0,745.66,8017.77,15,92600.43000000001,0.008894163674749812
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,149112.0,0.0,14260.29,28,163372.29,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,65642.25,0.0,485.28,16,66127.53,0.0
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,F,129476.67,0.0,0.0,N25,129476.67,0.0
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,F,87523.0,837.09,5490.56,16,93850.65,0.009564228831278635
DGS,Department of General Services,DGS 36 Property Management,M,124464.0,16210.11,948.66,N24,141622.77,0.13023934631700734
FIN,Department of Finance,FIN 32 Accounts Receivable,F,169555.0,0.0,0.0,M3,169555.0,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,87523.0,0.0,2701.48,16,90224.48,0.0
DOT,Department of Transportation,DOT 50 Transit Management Services,M,130181.0,0.0,1118.08,N25,131299.08,0.0
FRS,Fire and Rescue Services,FRS 45 Internal Affairs,F,87523.0,0.0,8370.23,16,95893.23,0.0
DOT,Department of Transportation,DOT 50 Transit Management Services,F,130181.0,0.0,8166.53,N25,138347.53,0.0
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,F,130181.0,0.0,0.0,N25,130181.0,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523.0,0.0,5490.56,16,93013.56,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,136188.0,0.0,902.73,N26,137090.73,0.0
DGS,Department of General Services,DGS 36 Contracting and Accounts Payable,M,87523.0,0.0,5490.56,16,93013.56,0.0
DGS,Department of General Services,DGS 36 Central Duplicating,M,169555.0,0.0,0.0,M3,169555.0,0.0
POL,Department of Police,POL 47 MSB Management and Budget Division,F,162254.0,0.0,0.0,M3,162254.0,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,119032.0,0.0,3539.7,23,122571.7,0.0
ABS,Alcohol Beverage Services,ABS 85 Administration,M,194980.0,0.0,0.0,M2,194980.0,0.0
HCA,Department of Housing and Community Affairs,HCA 76 Asset Management,F,130181.0,0.0,8166.53,25,138347.53,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,119032.0,0.0,0.0,N23,119032.0,0.0
DGS,Department of General Services,DGS 36 Fleet Management Services,F,130181.0,903.27,0.0,N25,131084.27,0.006938570144644764
DGS,Department of General Services,DGS 36 Contracting and Accounts Payable,M,119032.0,0.0,7467.13,23,126499.13,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,76986.0,0.0,7362.67,13,84348.67,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032.0,0.0,11383.55,23,130415.55,0.0
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76986.0,0.0,7362.67,13,84348.67,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,130181.0,0.0,8166.53,N25,138347.53,0.0
DPS,Department of Permitting Services,DPS 75 Customer Support,F,91392.0,0.0,8740.19,17,100132.19,0.0
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,F,108899.0,1383.08,5827.0,13,116109.08,0.012700575762862836
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,108899.0,0.0,0.0,21,108899.0,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,87523.0,365.11,2701.48,16,90589.59,0.004171589182272089
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,M,149112.0,0.0,9354.05,N28,158466.05,0.0
FIN,Department of Finance,FIN 32 Tax Operations,F,166958.66,0.0,0.0,M3,166958.66,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,87523.0,0.0,0.0,16,87523.0,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,71525.0,0.0,0.0,13,71525.0,0.0
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,119032.0,0.0,297.58,23,119329.58,0.0
FIN,Department of Finance,FIN 32 Tax Operations,F,106694.35,0.0,0.0,N21,106694.35,0.0
FRS,Fire and Rescue Services,FRS 45 Length of Service Awards Program,F,108899.0,0.0,6831.44,21,115730.44,0.0
OHR,Office of Human Resources,OHR 33 Director's Office,F,238000.0,0.0,0.0,EX1,238000.0,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,104197.0,0.0,6536.46,20,110733.46,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,163363.0,0.0,10248.09,N30,173611.09,0.0
DGS,Department of General Services,DGS 36 Property Management,M,124464.0,21507.99,7807.8,N24,153779.78999999998,0.1728049074431161
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,99710.0,0.0,1573.24,20,101283.24,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,127509.43,0.0,0.0,N25,127509.43,0.0
FRS,Fire and Rescue Services,FRS 45 Procurement,F,87523.0,0.0,3693.77,16,91216.77,0.0
DPS,Department of Permitting Services,DPS 75 Zoning Review,M,124464.0,0.0,4791.51,24,129255.51,0.0
FRS,Fire and Rescue Services,FRS 45 Fleet Support,F,91347.0,0.0,3451.54,N18,94798.54,0.0
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,M,162254.0,0.0,0.0,M3,162254.0,0.0
DGS,Department of General Services,DGS 36 Property Management,M,124464.0,56917.39,0.0,N24,181381.39,0.45730002249646484
REC,Department of Recreation,REC 72 Business Services,F,87523.0,1345.8,3693.77,16,92562.57,0.015376529597934258
FIN,Department of Finance,FIN 32 Tax Operations,F,87523.0,32.2,5490.56,16,93045.76,0.00036790329399129376
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181.0,0.0,4017.99,N25,134198.99,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,105579.56,0.0,0.0,N21,105579.56,0.0
DPS,Department of Permitting Services,DPS 75 Central Services Unit,F,142495.0,0.0,0.0,N27,142495.0,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,87523.0,0.0,5487.47,16,93010.47,0.0
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,95458.0,0.0,0.0,N18,95458.0,0.0
DGS,Department of General Services,DGS 36 Building Design and Construction,F,87523.0,0.0,8370.23,16,95893.23,0.0
FIN,Department of Finance,FIN 32 Grants Accounting,M,136188.0,0.0,0.0,N26,136188.0,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,108899.0,0.0,10414.6,21,119313.6,0.0
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,59515.71,0.0,6199.67,23,65715.38,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,130181.0,0.0,0.0,N25,130181.0,0.0
FIN,Department of Finance,FIN 32 Treasury Operations,F,91392.0,0.0,5733.27,N17,97125.27,0.0
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,F,108899.0,0.0,10414.6,21,119313.6,0.0
CUS,Community Use of Public Facilities,CUS 70 Director,F,217359.0,0.0,0.0,M1,217359.0,0.0
DOT,Department of Transportation,DOT 50 Parking Management Administration,M,108899.0,0.0,6581.87,21,115480.87,0.0
DGS,Department of General Services,DGS 36 Central Services,F,175559.61,0.0,0.0,M2,175559.61,0.0
DOT,Department of Transportation,DOT 50 Highway Services,M,136188.0,0.0,8543.3,N26,144731.3,0.0
FIN,Department of Finance,FIN 32 Timekeeping and Payroll,F,194980.0,0.0,0.0,M2,194980.0,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523.0,0.0,8370.23,16,95893.23,0.0
OLR,Office of Labor Relations,OLR 26 Labor Relations Division,F,130181.0,0.0,0.0,N25,130181.0,0.0
PRO,Office of Procurement,"PRO 35 MFD (Minority, Female, and Disabled Persons Program)",M,119032.0,0.0,11205.43,23,130237.43,0.0
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,M,136188.0,0.0,13024.23,26,149212.23,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,240000.0,0.0,0.0,EX1,240000.0,0.0
DOT,Department of Transportation,DOT 50 Commuter Services,F,87523.0,0.0,2701.48,16,90224.48,0.0
POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,119032.0,0.0,0.0,N23,119032.0,0.0
FRS,Fire and Rescue Services,FRS 45 Procurement,F,108899.0,0.0,10391.37,21,119290.37,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,104197.0,0.0,6536.46,20,110733.46,0.0
FIN,Department of Finance,FIN 32 Division of Fiscal Management,F,194980.0,0.0,0.0,M2,194980.0,0.0
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,108899.0,0.0,6831.44,21,115730.44,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Infrastructure and Cloud Services,M,186124.0,0.0,11675.79,N34,197799.79,0.0
DGS,Department of General Services,DGS 36 Fleet Management Administration,F,91392.0,2440.64,5733.27,N17,99565.91,0.02670518207282913
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,119032.0,0.0,3673.91,N23,122705.91,0.0
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,104197.0,0.0,6536.46,20,110733.46,0.0
DOT,Department of Transportation,DOT 50 Transportation Management,M,83837.0,3113.75,5259.22,15,92209.97,0.03714052268091654
DPS,Department of Permitting Services,DPS 75 Customer Support,F,99719.0,757.5,9268.32,19,109744.82,0.007596345731505531
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392.0,0.0,8740.19,17,100132.19,0.0
OCP,Office of Consumer Protection,OCP 39 Investigations,M,130181.0,0.0,8166.53,25,138347.53,0.0
DGS,Department of General Services,DGS 36 Building Design and Construction,F,169555.0,0.0,0.0,M3,169555.0,0.0
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,136188.0,0.0,2784.54,N26,138972.54,0.0
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,147028.19,0.0,0.0,28,147028.19,0.0
OHR,Office of Human Resources,OHR 33 Health and Employee Welfare,F,130181.0,0.0,3568.83,N25,133749.83,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181.0,0.0,0.0,N25,130181.0,0.0
DPS,Department of Permitting Services,DPS 75 Customer Support,M,91392.0,9262.13,8740.19,17,109394.32,0.10134508490896357
DGS,Department of General Services,DGS 36 Director,M,246000.0,0.0,0.0,EX1,246000.0,0.0
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Strategy and Planning,F,194980.0,0.0,0.0,M2,194980.0,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,130181.0,0.0,8166.53,N25,138347.53,0.0
DOT,Department of Transportation,DOT 50 Transportation Construction Section,F,108899.0,12607.7,10321.79,21,131828.49,0.11577424953397185
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,F,142691.0,0.0,6976.01,28,149667.01,0.0
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,76986.0,0.0,4829.55,13,81815.55,0.0
FIN,Department of Finance,FIN 32 Management and Operations - Director,F,149112.0,0.0,4602.26,N28,153714.26,0.0
DGS,Department of General Services,DGS 36 Real Estate Office,F,87523.0,0.0,8370.23,16,95893.23,0.0
FIN,Department of Finance,FIN 32 Tax Operations,F,87523.0,804.9,5490.56,16,93818.45999999999,0.009196439792968705
FRS,Fire and Rescue Services,FRS 45 Facilities,M,169555.0,0.0,0.0,M3,169555.0,0.0
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,130181.0,0.0,825.41,N25,131006.41,0.0
DGS,Department of General Services,DGS 36 Building Design and Construction,M,149112.0,0.0,4602.26,28,153714.26,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,152658.66,0.0,1058.83,M3,153717.49,0.0
PRO,Office of Procurement,PRO 35 Office of Procurement,F,155134.41,0.0,0.0,M3,155134.41,0.0
OAS,Office of Animal Services,OAS 38 Animal Services Division,F,87523.0,780.74,8370.23,16,96673.97,0.008920398066793872
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,M,136188.0,0.0,5338.06,N26,141526.06,0.0
FRS,Fire and Rescue Services,FRS 45 Volunteer Services Division,F,87523.0,432.16,5490.56,16,93445.72,0.004937673525816071
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523.0,0.0,8370.23,16,95893.23,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197.0,2390.63,3216.0,20,109803.63,0.02294336689156118
HCA,Department of Housing and Community Affairs,HCA 76 Licensing,F,108899.0,0.0,10414.6,21,119313.6,0.0
POL,Department of Police,POL 47 MSB Management and Budget Division,F,130181.0,893.91,8166.53,N25,139241.44,0.006866670251419178
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311,F,130181.0,0.0,5654.75,N25,135835.75,0.0
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,127806.91,0.0,0.0,N25,127806.91,0.0
DGS,Department of General Services,DGS 36 Fleet Management Services,F,157528.0,0.0,0.0,M3,157528.0,0.0
DGS,Department of General Services,DGS 36 Building Design and Construction,M,169354.11,0.0,1989.88,M3,171343.99,0.0
OHR,Office of Human Resources,OHR 33 Professional Learning and Org Development,F,130181.0,0.0,2510.5,N25,132691.5,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,101175.0,0.0,287.21,N21,101462.21,0.0
DOT,Department of Transportation,DOT 50 Commuter Services,F,169555.0,0.0,0.0,M3,169555.0,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,87523.0,0.0,8370.23,16,95893.23,0.0
